"filename", "language", "PHP", "JavaScript", "JSON with Comments", "CSS", "SCSS", "JSON", "XML", "Markdown", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\inmuebles\admin\views\dist\css\adminlte.min.css", "CSS", 0, 0, 0, 2, 0, 0, 0, 0, 0, 10, 0, 12
"c:\xampp\htdocs\inmuebles\admin\views\dist\css\alt\adminlte.components.css", "CSS", 0, 0, 0, 9738, 0, 0, 0, 0, 0, 8, 2448, 12194
"c:\xampp\htdocs\inmuebles\admin\views\dist\css\alt\adminlte.components.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\inmuebles\admin\views\dist\css\alt\adminlte.core.css", "CSS", 0, 0, 0, 25200, 0, 0, 0, 0, 0, 14, 4777, 29991
"c:\xampp\htdocs\inmuebles\admin\views\dist\css\alt\adminlte.core.min.css", "CSS", 0, 0, 0, 2, 0, 0, 0, 0, 0, 11, 0, 13
"c:\xampp\htdocs\inmuebles\admin\views\dist\css\alt\adminlte.extra-components.css", "CSS", 0, 0, 0, 1473, 0, 0, 0, 0, 0, 8, 275, 1756
"c:\xampp\htdocs\inmuebles\admin\views\dist\css\alt\adminlte.extra-components.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\inmuebles\admin\views\dist\css\alt\adminlte.light.css", "CSS", 0, 0, 0, 30703, 0, 0, 0, 0, 0, 28, 6133, 36864
"c:\xampp\htdocs\inmuebles\admin\views\dist\css\alt\adminlte.light.min.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 15, 0, 18
"c:\xampp\htdocs\inmuebles\admin\views\dist\css\alt\adminlte.pages.css", "CSS", 0, 0, 0, 821, 0, 0, 0, 0, 0, 8, 131, 960
"c:\xampp\htdocs\inmuebles\admin\views\dist\css\alt\adminlte.pages.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\inmuebles\admin\views\dist\css\alt\adminlte.plugins.css", "CSS", 0, 0, 0, 7381, 0, 0, 0, 0, 0, 16, 1749, 9146
"c:\xampp\htdocs\inmuebles\admin\views\dist\css\alt\adminlte.plugins.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\inmuebles\admin\views\dist\js\.eslintrc.json", "JSON with Comments", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 1, 58
"c:\xampp\htdocs\inmuebles\admin\views\dist\js\adminlte.js", "JavaScript", 0, 2191, 0, 0, 0, 0, 0, 0, 0, 330, 549, 3070
"c:\xampp\htdocs\inmuebles\admin\views\dist\js\adminlte.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\inmuebles\admin\views\dist\js\datatable.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\inmuebles\admin\views\dist\js\demo.js", "JavaScript", 0, 597, 0, 0, 0, 0, 0, 0, 0, 14, 79, 690
"c:\xampp\htdocs\inmuebles\admin\views\dist\js\pages\dashboard.js", "JavaScript", 0, 216, 0, 0, 0, 0, 0, 0, 0, 30, 22, 268
"c:\xampp\htdocs\inmuebles\admin\views\dist\js\pages\dashboard2.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 0, 0, 165, 14, 271
"c:\xampp\htdocs\inmuebles\admin\views\dist\js\pages\dashboard3.js", "JavaScript", 0, 128, 0, 0, 0, 0, 0, 0, 0, 11, 9, 148
"c:\xampp\htdocs\inmuebles\admin\views\dist\js\plugins\summernote-0.8.18-dist\lang\summernote-ar-AR.js", "JavaScript", 0, 241, 0, 0, 0, 0, 0, 0, 0, 29, 4, 274
"c:\xampp\htdocs\inmuebles\admin\views\dist\js\plugins\summernote-0.8.18-dist\lang\summernote-ar-AR.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\xampp\htdocs\inmuebles\admin\views\dist\js\plugins\summernote-0.8.18-dist\lang\summernote-az-AZ.js", "JavaScript", 0, 240, 0, 0, 0, 0, 0, 0, 0, 39, 4, 283
"c:\xampp\htdocs\inmuebles\admin\views\dist\js\plugins\summernote-0.8.18-dist\lang\summernote-az-AZ.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\xampp\htdocs\inmuebles\admin\views\dist\js\plugins\summernote-0.8.18-dist\lang\summernote-bg-BG.js", "JavaScript", 0, 241, 0, 0, 0, 0, 0, 0, 0, 29, 4, 274
"c:\xampp\htdocs\inmuebles\admin\views\dist\js\plugins\summernote-0.8.18-dist\lang\summernote-bg-BG.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\xampp\htdocs\inmuebles\admin\views\dist\js\plugins\summernote-0.8.18-dist\lang\summernote-ca-ES.js", "JavaScript", 0, 240, 0, 0, 0, 0, 0, 0, 0, 29, 4, 273
"c:\xampp\htdocs\inmuebles\admin\views\dist\js\plugins\summernote-0.8.18-dist\lang\summernote-ca-ES.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\xampp\htdocs\inmuebles\admin\views\dist\js\plugins\summernote-0.8.18-dist\lang\summernote-cs-CZ.js", "JavaScript", 0, 235, 0, 0, 0, 0, 0, 0, 0, 29, 4, 268
"c:\xampp\htdocs\inmuebles\admin\views\dist\js\plugins\summernote-0.8.18-dist\lang\summernote-cs-CZ.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\xampp\htdocs\inmuebles\admin\views\dist\js\plugins\summernote-0.8.18-dist\lang\summernote-da-DK.js", "JavaScript", 0, 240, 0, 0, 0, 0, 0, 0, 0, 29, 4, 273
"c:\xampp\htdocs\inmuebles\admin\views\dist\js\plugins\summernote-0.8.18-dist\lang\summernote-da-DK.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\xampp\htdocs\inmuebles\admin\views\dist\js\plugins\summernote-0.8.18-dist\lang\summernote-de-DE.js", "JavaScript", 0, 241, 0, 0, 0, 0, 0, 0, 0, 29, 4, 274
